to,宛先,21
the,その,21
you,あなたが,9
it,それ,7
and,そして,7
can,Cna,7
mayumi,真弓,6
said,言った,6
sleep,睡眠,5
problem,問題,5
my,私の,5
do,の,5
that,それ,5
about,に関しては,5
when,いつ,4
we,私たち,4
in,インチ,4
this,これ,4
play,再生,4
should,べき,4
will,は,4
go,行く,3
have,が,3
but,だがしかし,3
of,の,3
best,最高,3
piano,計画,3
one,1 つ,3
what,何,3
went,行った,3
me,私,3
back,戻る,3
idea,アイデア,3
difficult,困難,2
good,よし,2
way,方法,2
class,クラス,2
two,2,2
songs,曲,2
festival,祭,2
had,Hda,2
was,は,2
too,も,2
always,いつも,2
else,他,2
no,違います,2
hard,つらい,2
on,に,2
thought,考え,2
bed,ベッド,2
thing,こと,2
be,Bve,2
her,彼女,2
know,知って,2
then,そうしたら,2
mother,母,2
made,た,2
mouth,口,2
change,変更,2
future,将来,2
next,次に,2
sing,歌う,2
song,歌,2
everyone,みんな,2
if,もし,2
is,は,1
sometimes,たまに,1
found,発見,1
get,取得,1
out,乙,1
today,本日は,1
like,という感じで,1
share,共有,1
with,と,1
last,前の,1
year,年,1
our,私たち,1
sang,血液,1
school,学校,1
friend,友人,1
played,再生,1
for,の,1
us,私たち,1
week,週,1
before,以前は,1
stopped,停止,1
at,で,1
same,同じ,1
part,一部,1
she,彼女が,1
anyone,誰,1
player,プレーヤー,1
work,仕事,1
harder,困難,1
practicing,練習,1
cried,叫んだ,1
began,始めた,1
again,再び,1
enjoyed,楽しんだ,1
practice,練習,1
after,後,1
night,夜,1
couldn,できなかった,1
bad,悪い,1
kind,種類,1
didn,didn,1
drink,飲む,1
some,いくつ か,1
water,水,1
came,来た,1
up,を,1
told,言った,1
mistake,間違い,1
day,日,1
wanted,たい,1
moment,瞬間,1
shut,シャット ダウン,1
words,言葉,1
never,ぜんぜん,1
come,何,1
your,あなたの,1
now,今,1
tomorrow,明日,1
first,まずは,1
say,言う,1
sorry,すみません,1
talk,話,1
practiced,練習,1
very,すごく,1
so,だから,1
want,たい,1
pianist,ピアニスト,1
players,選手,1
together,一緒に,1
may,が,1
easier,簡単,1
happy,幸せ,1
worked,働いた,1
well,まぁ,1
chorus,コーラス,1
moved,移動,1
hall,ホール,1
from,差出人,1
experience,経験,1
learned,学んだ,1
an,、,1
important,大事な,1
life,人生,1
cannot,できません,1
because,というのは,1
tell,伝える,1
myself,自分自身,1
think,考える,1
only,だけ,1
how,どう,1
make,を,1
morning,朝,1
feel,感じる,1
better,良い,1
believe,信じる,1
help,ヘルプ,1
