the,その,29
to,宛先,11
in,インチ,10
was,は,9
of,の,9
said,言った,9
and,そして,8
my,私の,7
sara,サラ,7
very,すごく,7
me,私,6
like,という感じで,6
it,それ,5
small,小さな,4
host,ホスト,4
she,彼女が,4
we,私たち,4
felt,感じた,4
close,閉じる,4
nature,自然,4
on,に,4
car,車,4
you,あなたが,4
grass,草,4
stars,星,4
family,家族,3
then,そうしたら,3
feel,感じる,3
so,だから,3
canada,カナダ,2
with,と,2
time,時間,2
outdoors,屋外,2
feeling,感じ,2
went,行った,2
enjoyed,楽しんだ,2
by,によって,2
big,大きな,2
tree,ツリー,2
put,置く,2
your,あなたの,2
heard,聞いた,2
sound,音,2
had,Hda,2
one,1 つ,2
night,夜,2
out,乙,2
after,後,2
field,フィールド,2
got,得た,2
lights,ライト,2
all,すべての,2
wind,風,2
strange,奇妙,2
piece,作品,2
beautiful,美しい,2
at,で,2
ve,そして,2
thank,感謝,2
this,これ,1
summer,夏,1
visited,訪問,1
stayed,滞在,1
town,町,1
for,の,1
three,3,1
weeks,週間,1
sister,妹,1
sixteen,16,1
spent,過ごした,1
lot,多く,1
together,一緒に,1
wonderful,いいですね,1
camping,キャンプ,1
every,すべて,1
saturday,土曜日,1
riding,乗って,1
boat,ボート,1
lake,湖,1
walking,歩いて,1
forest,フォレスト,1
told,言った,1
eyes,目,1
hands,手,1
ear,耳,1
listened,聞いて,1
hard,つらい,1
knew,知って,1
life,人生,1
just,ちょうど,1
about,に関しては,1
an,、,1
hour,時間,1
stopped,停止,1
have,が,1
ever,まで,1
been,されて,1
away,離れて,1
from,差出人,1
city,都市,1
father,父,1
turned,なって,1
off,オフ,1
black,黒,1
no,違います,1
anything,何か,1
only,だけ,1
into,に,1
how,どう,1
did,た,1
that,それ,1
interesting,面白いね,1
last,前の,1
slept,寝て,1
backyard,裏庭,1
sky,空,1
full,完全,1
are,は,1
when,いつ,1
looking,探して,1
happy,幸せ,1
yes,うん,1
give,与える,1
us,私たち,1
peace,平和,1
mind,心,1
really,ほんとですか,1
since,ので,1
came,来た,1
become,なる,1
much,だいぶ,1
pleasure,喜び,1
naoko,直子,1
now,今,1
japan,日本,1
still,それでもなお,1
smell,香り,1
park,公園,1
look,ほら,1
different,異なる,1
kinds,種類,1
green,緑,1
trees,木,1
also,また,1
enjoy,お 楽しみ ください,1
sounds,音,1
river,川,1
way,方法,1
school,学校,1
is,は,1
